Number of Records	Count	Iclevel	K Rank	Name	Par Rank	State	Type
1	495.666666667	1	0.51605916	Academy Of Art University	0.649209833	CA	3
1	119	1	0.5155229	Argosy University	0.621894403	CA	3
1	109.5	1	0.5567174	Art Center College Of Design	0.590279301	CA	2
1	647	1	0.59809679	Azusa Pacific University	0.706601575	CA	2
1	535	1	0.55962592	Biola University	0.682475240	CA	2
1	250.166666667	1	0.51142704	Brooks Institute	0.658332428	CA	3
1	197.333333333	1	0.55966318	California Baptist University	0.621197077	CA	2
1	123.666666667	1	0.51260179	California College Of The Arts	0.661119232	CA	2
1	190.666666667	1	0.77411675	California Institute Of Technology	0.746004221	CA	2
1	122.666666667	1	0.51210344	California Institute Of The Arts	0.694929475	CA	2
1	300	1	0.66655928	California Lutheran University	0.722027274	CA	2
1	92	1	0.79060483	California Maritime Academy	0.712130928	CA	1
1	2887.666666667	1	0.73158324	California Polytechnic State University	0.753248831	CA	1
1	2195.333333333	1	0.68787456	California State Polytechnic University, Pomona	0.583455906	CA	1
1	2041.333333333	1	0.64981306	California State University - Sacramento	0.623631152	CA	1
1	50	1	0.62612385	California State University Channel Islands	0.664562166	CA	1
1	542.666666667	1	0.62575829	California State University, Bakersfield	0.550141947	CA	1
1	1895.333333333	1	0.6554296	California State University, Chico	0.712693733	CA	1
1	451.333333333	1	0.60081446	California State University, Dominguez Hills	0.416794469	CA	1
1	696.666666667	1	0.66516989	California State University, East Bay	0.621243891	CA	1
1	1656.333333333	1	0.62684512	California State University, Fresno	0.558883874	CA	1
1	2374	1	0.64307481	California State University, Fullerton	0.604733094	CA	1
1	2863.666666667	1	0.65209162	California State University, Long Beach	0.613430921	CA	1
1	1179.666666667	1	0.61570972	California State University, Los Angeles	0.372024361	CA	1
1	322.666666667	1	0.60468066	California State University, Monterey Bay	0.641400318	CA	1
1	2348.666666667	1	0.62309015	California State University, Northridge	0.513859183	CA	1
1	1151.666666667	1	0.61586326	California State University, San Bernardino	0.550327799	CA	1
1	427.666666667	1	0.62741566	California State University, San Marcos	0.639580581	CA	1
1	603	1	0.61842811	California State University, Stanislaus	0.557670304	CA	1
1	603	1	0.64327455	Chapman University	0.713686339	CA	2
1	266	1	0.74572706	Claremont Mckenna College	0.782583563	CA	2
1	201	1	0.58319998	Concordia University of Irvine, CA	0.666680317	CA	2
1	137.666666667	1	0.63858461	Dominican University Of California	0.684231013	CA	2
1	932.5	1	0.51616287	Fashion Institute Of Design & Merchandising	0.592304687	CA	3
1	160.666666667	1	0.58368534	Fresno Pacific University	0.575462344	CA	2
1	164	1	0.78961754	Harvey Mudd College	0.775524099	CA	2
1	736.666666667	1	0.55708909	Humboldt State University	0.655456808	CA	1
1	205	1	0.61742145	La Sierra University	0.606475451	CA	2
1	1016	1	0.68718237	Loyola Marymount University	0.749116748	CA	2
1	110	1	0.50293195	Marymount California University	0.656228940	CA	2
1	213.666666667	1	0.52699727	Master's College & Seminary	0.646028705	CA	2
1	115	1	0.59870458	Mills College	0.615199106	CA	2
1	222.333333333	1	0.63991994	Mount St. Mary's College	0.458610876	CA	2
1	170.5	1	0.44084749	Musicians Institute	0.585523744	CA	3
1	380	1	0.64965373	Occidental College	0.714065240	CA	2
1	124	1	0.59690553	Otis College Of Art & Design	0.614677588	CA	2
1	233	1	0.64369875	Pacific Union College	0.700650752	CA	2
1	569.333333333	1	0.67307276	Pepperdine University	0.751117965	CA	2
1	192	1	0.61444956	Pitzer College	0.757056935	CA	2
1	99.666666667	1	0.48436373	Platt College of Alhambra, CA	0.409512672	CA	3
1	501.666666667	1	0.61900693	Point Loma Nazarene University	0.722694283	CA	2
1	369.333333333	1	0.72083247	Pomona College	0.802622542	CA	2
1	509.666666667	1	0.69057578	Saint Mary's College Of California	0.709928150	CA	2
1	3196.333333333	1	0.66684097	San Diego State University	0.670021614	CA	1
1	1854.666666667	1	0.63048476	San Francisco State University	0.621767957	CA	1
1	2182.333333333	1	0.69880325	San Jose State University	0.629639312	CA	1
1	167	1	0.42786303	Santa Barbara Business College	0.378632267	CA	3
1	989.666666667	1	0.75007588	Santa Clara University	0.787701157	CA	2
1	185	1	0.61285448	Scripps College	0.750779663	CA	2
1	161	1	0.51289839	Simpson University	0.590377053	CA	2
1	907.666666667	1	0.63638425	Sonoma State University	0.721268833	CA	1
1	1516.333333333	1	0.77462727	Stanford University	0.809392209	CA	2
1	4624.333333333	1	0.73551917	University Of California, Berkeley	0.698318737	CA	1
1	3996	1	0.72145909	University Of California, Davis	0.688869129	CA	1
1	3244.333333333	1	0.70583749	University Of California, Irvine	0.631591375	CA	1
1	4734	1	0.72379512	University Of California, Los Angeles	0.670381697	CA	1
1	2364.333333333	1	0.67372859	University Of California, Riverside	0.575710171	CA	1
1	3264.666666667	1	0.72954172	University Of California, San Diego	0.691959723	CA	1
1	3450.333333333	1	0.70207489	University Of California, Santa Barbara	0.729650824	CA	1
1	2341.666666667	1	0.63391191	University Of California, Santa Cruz	0.707192215	CA	1
1	285.333333333	1	0.65188533	University Of La Verne	0.579280156	CA	2
1	397.333333333	1	0.64428204	University Of Redlands	0.703517708	CA	2
1	894	1	0.69090205	University Of San Diego	0.759519597	CA	2
1	606.333333333	1	0.68834144	University Of San Francisco	0.704921848	CA	2
1	3052.666666667	1	0.71106648	University Of Southern California	0.718866056	CA	2
1	617.666666667	1	0.70610803	University Of The Pacific	0.663727324	CA	2
1	240.333333333	1	0.54083663	Vanguard University Of Southern California	0.633686676	CA	2
1	296.666666667	1	0.62705326	Westmont College	0.769508160	CA	2
1	412.5	1	0.49511296	Westwood College - Los Angeles	0.371268938	CA	3
1	52.5	1	0.47305888	Westwood College - South Bay	0.374436071	CA	3
1	251	1	0.63001615	Whittier College	0.667977159	CA	2
1	115.666666667	1	0.61899149	Woodbury University	0.508644148	CA	2
